ID_Cliente,Cancelou,Genero,Idoso,Tem_Conjuge,Tem_Dependentes,Meses_Permanencia,Servico_Telefone,Multiplas_Linhas,Tipo_Internet,Seguranca_Online,Backup_Online,Protecao_Dispositivo,Suporte_Tecnico,Streaming_TV,Streaming_Filmes,Tipo_Contrato,Fatura_Digital,Metodo_Pagamento,Cobranca_Mensal,Cobranca_Total
0786-IVLAW,Não,Feminino,1,Não,Não,66,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Anual,Não,Transf. bancária,108.1,72386.0
0786-VSSUD,Sim,Masculino,1,Não,Não,16,Não,Sem telefone,DSL,Não,Sim,Não,Não,Sim,Não,Mensal,Sim,Cheque enviado,39.0,67985.0
0787-LHDYT,Não,Masculino,0,Não,Não,16,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Sim,Cartão de crédito,20.6,33025.0
0788-DXBFY,Não,Masculino,0,Sim,Sim,58,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Sim,Cheque eletrônico,19.55,11088.0
0793-TWELN,Não,Feminino,0,Não,Não,4,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,80.15,31985.0
0794-YVSGE,Não,Masculino,0,Sim,Sim,72,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,20.3,140115.0
0795-GMVQO,Não,Masculino,0,Sim,Não,67,Sim,Sim,Fibra optica,Sim,Sim,Sim,Não,Sim,Sim,Anual,Não,Cartão de crédito,109.9,73324.0
0795-LAFGP,Não,Masculino,0,Sim,Sim,71,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cheque eletrônico,90.4,666805.0
0795-XCCTE,Não,Masculino,1,Não,Não,72,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,25.4,180935.0
0799-DDIHE,Não,Feminino,0,Sim,Sim,15,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,46.3,63945.0
0804-XBFBV,Não,Feminino,0,Não,Sim,11,Não,Sem telefone,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,25.2,32105.0
0804-YGEQV,Não,Feminino,0,Sim,Sim,43,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Sim,Transf. bancária,24.45,99315.0
0807-ZABDG,Sim,Feminino,0,Não,Sim,3,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Sim,Cheque enviado,55.1,15465.0
0810-BDHAW,Não,Feminino,0,Sim,Sim,24,Sim,Sim,DSL,Sim,Sim,Não,Não,Sim,Sim,Anual,Não,Cheque eletrônico,78.4,18324.0
0810-DHDBD,Não,Feminino,0,Não,Não,52,Sim,Sim,DSL,Sim,Não,Sim,Sim,Sim,Não,Anual,Não,Cartão de crédito,74.0,387765.0
0811-GSDTP,Não,Feminino,0,Não,Sim,13,Não,Sem telefone,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,30.15,3822.0
0812-WUPTB,Sim,Masculino,1,Sim,Não,1,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,70.85,7085.0
0813-TAXXS,Não,Masculino,0,Não,Não,55,Sim,Sim,DSL,Não,Não,Sim,Não,Sim,Sim,Bianual,Sim,Transf. bancária,77.8,432335.0
0815-MFZGM,Não,Feminino,0,Sim,Não,42,Sim,Não,Fibra optica,Não,Não,Sim,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito,99.0,4135.0
0816-TSPHQ,Não,Masculino,0,Não,Não,2,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,20.75,442.0
0817-HSUSE,Não,Masculino,0,Não,Não,1,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,75.5,755.0
0818-OCPZO,Sim,Masculino,1,Não,Não,27,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,81.45,212205.0
0820-FNRNX,Não,Masculino,0,Sim,Sim,17,Sim,Sim,DSL,Não,Sim,Sim,Sim,Não,Não,Mensal,Sim,Cheque enviado,66.7,107705.0
0822-GAVAP,Sim,Feminino,0,Não,Não,2,Não,Sem telefone,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,34.7,6225.0
0822-QGCXA,Não,Feminino,1,Sim,Não,27,Sim,Sim,DSL,Não,Sim,Sim,Sim,Sim,Sim,Mensal,Não,Cheque eletrônico,83.85,23102.0
0823-HSCDJ,Sim,Masculino,1,Não,Não,52,Não,Sem telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,49.15,25509.0
0824-VWDPO,Não,Feminino,0,Não,Não,45,Sim,Sim,Fibra optica,Sim,Sim,Não,Não,Não,Sim,Anual,Não,Transf. bancária,96.75,444275.0
0825-CPPQH,Não,Feminino,0,Sim,Não,71,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cartão de crédito,19.1,137245.0
0827-ITJPH,Não,Masculino,0,Não,Não,36,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Sim,Cartão de crédito,18.55,689.0
0829-DDVLK,Não,Feminino,0,Não,Não,15,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cartão de crédito,20.1,30245.0
0829-XXPLX,Não,Feminino,0,Não,Não,20,Sim,Não,Fibra optica,Sim,Não,Sim,Não,Sim,Não,Mensal,Sim,Transf. bancária,89.4,187115.0
0831-JNISG,Não,Masculino,0,Sim,Sim,71,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cheque enviado,19.8,139625.0
0835-DUUIQ,Não,Feminino,0,Não,Sim,24,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Transf. bancária,21.05,53155.0
0835-JKADZ,Não,Feminino,0,Não,Não,71,Sim,Sim,Fibra optica,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cheque eletrônico,111.25,798415.0
0836-SEYLU,Sim,Masculino,0,Sim,Não,9,Não,Sem telefone,DSL,Não,Não,Não,Sim,Sim,Não,Mensal,Não,Cheque enviado,40.65,32895.0
0839-JTCUD,Não,Feminino,0,Sim,Sim,66,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Cartão de crédito,89.9,595885.0
0839-QNXME,Não,Feminino,0,Não,Não,30,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cartão de crédito,19.4,5785.0
0840-DCNZE,Não,Masculino,0,Não,Não,47,Sim,Não,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Transf. bancária,86.95,41389.0
0840-DFEZH,Não,Feminino,0,Não,Não,7,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,75.35,56465.0
0841-NULXI,Sim,Masculino,0,Não,Não,1,Não,Sem telefone,DSL,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,35.55,3555.0
0842-IWYCP,Não,Feminino,0,Não,Não,46,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Não,Transf. bancária,44.95,21689.0
0843-WTBXE,Sim,Masculino,0,Não,Não,53,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Não,Mensal,Não,Transf. bancária,85.45,451725.0
0847-HGRML,Não,Masculino,0,Não,Sim,62,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,20.0,12501.0
0848-SOMKO,Não,Masculino,0,Não,Não,70,Não,Sem telefone,DSL,Sim,Não,Sim,Sim,Não,Sim,Bianual,Não,Transf. bancária,48.4,34428.0
0848-ZGQIJ,Não,Feminino,0,Sim,Não,16,Sim,Não,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Transf. bancária,94.65,146115.0
0851-DFJKB,Não,Feminino,0,Não,Não,15,Sim,Não,DSL,Sim,Não,Sim,Sim,Não,Não,Mensal,Não,Cheque eletrônico,58.95,95515.0
0853-NWIFK,Não,Feminino,0,Não,Não,45,Sim,Não,Fibra optica,Sim,Sim,Não,Não,Sim,Sim,Anual,Sim,Cheque eletrônico,100.3,448395.0
0853-TWRVK,Não,Masculino,0,Sim,Não,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Não,Sim,Bianual,Não,Transf. bancária,105.6,75815.0
0854-UYHZD,Não,Feminino,0,Sim,Sim,13,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cheque enviado,19.55,2653.0
0856-NAOES,Não,Masculino,0,Não,Não,6,Sim,Não,DSL,Não,Não,Sim,Não,Sim,Não,Mensal,Não,Cheque enviado,60.9,4141.0
0859-YGKFW,Não,Masculino,0,Sim,Sim,18,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Transf. bancária,20.05,3459.0
0862-PRCBS,Não,Feminino,0,Sim,Sim,68,Sim,Sim,Fibra optica,Não,Sim,Não,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito,103.75,703945.0
0864-FVJNJ,Não,Feminino,0,Sim,Sim,64,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Não,Cheque eletrônico,113.35,722275.0
0866-QLSIR,Sim,Feminino,0,Não,Não,34,Sim,Sim,DSL,Sim,Sim,Não,Sim,Não,Não,Anual,Sim,Cheque enviado,64.4,208875.0
0867-LDTTC,Não,Masculino,0,Não,Não,5,Sim,Não,DSL,Não,Não,Sim,Sim,Sim,Sim,Mensal,Não,Transf. bancária,75.15,39265.0
0867-MKZVY,Sim,Feminino,0,Sim,Não,20,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,82.4,159235.0
0868-VJRDR,Não,Masculino,0,Sim,Não,64,Sim,Não,Fibra optica,Sim,Sim,Não,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito,104.05,660555.0
0869-PAPRP,Não,Feminino,1,Sim,Não,26,Sim,Não,Fibra optica,Não,Não,Sim,Não,Sim,Não,Mensal,Sim,Cartão de crédito,85.7,2067.0
0870-VEMYL,Sim,Feminino,0,Não,Não,5,Sim,Não,DSL,Sim,Não,Não,Sim,Não,Não,Mensal,Não,Cartão de crédito,53.85,2598.0
0871-OPBXW,Não,Feminino,0,Não,Não,2,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Sim,Cheque enviado,20.05,3925.0
0871-URUWO,Sim,Masculino,0,Sim,Não,13,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de crédito,102.25,1359.0
0872-CASZJ,Não,Masculino,0,Sim,Não,59,Sim,Sim,DSL,Sim,Não,Não,Sim,Não,Sim,Anual,Sim,Cheque enviado,69.1,40969.0
0872-JCPIB,Não,Masculino,0,Não,Não,17,Sim,Sim,DSL,Sim,Não,Não,Não,Não,Sim,Mensal,Não,Transf. bancária,65.75,11112.0
0872-NXJYS,Sim,Feminino,0,Não,Não,9,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,79.55,7234.0
0875-CABNR,Sim,Feminino,1,Não,Não,10,Sim,Não,Fibra optica,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Cartão de crédito,84.6,86555.0
0876-WDUUZ,Sim,Feminino,0,Não,Não,5,Sim,Não,Fibra optica,Não,Não,Não,Sim,Não,Sim,Mensal,Sim,Cartão de crédito,85.4,4259.0
0877-SDMBN,Sim,Feminino,0,Não,Não,54,Sim,Sim,Fibra optica,Sim,Não,Sim,Não,Sim,Sim,Anual,Sim,Transf. bancária,103.95,563905.0
0880-FVFWF,Não,Masculino,0,Não,Não,56,Sim,Sim,Fibra optica,Sim,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,86.4,49224.0
0880-TKATG,Sim,Masculino,0,Sim,Sim,4,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,101.15,3859.0
0883-EIBTI,Sim,Feminino,0,Não,Não,2,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,19.5,3155.0
0885-HMGPY,Não,Masculino,0,Não,Não,62,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Não,Bianual,Não,Transf. bancária,69.4,42375.0
0886-QGENL,Sim,Feminino,1,Sim,Não,27,Sim,Não,Fibra optica,Sim,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,101.25,275445.0
0887-HJGAR,Sim,Masculino,0,Não,Não,1,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,45.7,457.0
0887-WBJVH,Não,Feminino,0,Sim,Não,53,Sim,Não,Fibra optica,Não,Não,Não,Sim,Sim,Sim,Anual,Sim,Cheque eletrônico,93.45,48722.0
0895-DQHEW,Sim,Masculino,0,Sim,Não,54,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,104.3,527815.0
0895-LMRSF,Não,Masculino,0,Não,Não,23,Sim,Não,DSL,Não,Não,Não,Não,Sim,Sim,Anual,Sim,Transf. bancária,64.9,15098.0
0895-LNKRC,Não,Masculino,0,Sim,Sim,6,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cheque enviado,19.45,1135.0
0895-UADGO,Não,Masculino,0,Não,Sim,8,Não,Sem telefone,DSL,Sim,Não,Não,Sim,Não,Sim,Bianual,Sim,Cheque enviado,44.55,34345.0
0897-FEGMU,Sim,Feminino,0,Sim,Não,11,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,99.5,105695.0
0898-XCGTF,Não,Masculino,0,Sim,Não,61,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Anual,Sim,Transf. bancária,96.5,56737.0
0899-LIIBW,Não,Masculino,0,Sim,Não,34,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Não,Cheque eletrônico,100.85,35273.0
0899-WZRSD,Não,Masculino,0,Não,Não,56,Sim,Sim,Fibra optica,Sim,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque enviado,105.35,579445.0
0902-RFHOF,Não,Masculino,0,Não,Não,38,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cheque enviado,20.1,7301.0
0902-XKXPN,Não,Masculino,0,Sim,Sim,69,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,20.2,13765.0
0906-QVPMS,Não,Masculino,0,Sim,Não,72,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Transf. bancária,115.15,834945.0
0907-HQNTS,Não,Feminino,1,Sim,Não,70,Sim,Sim,Fibra optica,Sim,Sim,Sim,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito,113.0,79876.0
0909-SDHNU,Não,Feminino,0,Não,Sim,7,Não,Sem telefone,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque enviado,29.8,20195.0
0909-SELIE,Não,Masculino,0,Sim,Não,61,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Sim,Bianual,Sim,Transf. bancária,80.8,486085.0
0913-XWSCN,Não,Masculino,0,Sim,Sim,55,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Não,Transf. bancária,85.5,47134.0
0916-KNFAJ,Não,Masculino,0,Sim,Não,61,Sim,Sim,DSL,Sim,Não,Sim,Não,Não,Sim,Bianual,Sim,Cheque enviado,69.9,42267.0
0916-QOFDP,Não,Feminino,1,Sim,Sim,14,Sim,Sim,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,95.8,13463.0
0917-EZOLA,Sim,Masculino,1,Sim,Não,72,Sim,Sim,Fibra optica,Não,Sim,Sim,Não,Sim,Sim,Bianual,Sim,Transf. bancária,104.15,768995.0
0921-OHLVP,Não,Masculino,0,Não,Não,22,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Não,Cheque eletrônico,83.05,17993.0
0923-PNFUB,Sim,Feminino,0,Não,Não,3,Sim,Não,Fibra optica,Não,Sim,Não,Não,Sim,Não,Mensal,Não,Cheque eletrônico,83.75,24725.0
0924-BJCRC,Não,Feminino,1,Sim,Não,60,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Não,Sim,Mensal,Não,Cheque eletrônico,89.45,52946.0
0925-VYDLG,Sim,Feminino,0,Não,Não,3,Sim,Sim,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,75.25,242.0
0927-CNGRH,Não,Masculino,0,Não,Sim,1,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,19.55,1955.0
0927-LCSMG,Sim,Masculino,0,Não,Não,7,Sim,Não,Fibra optica,Não,Não,Sim,Não,Não,Não,Mensal,Não,Cheque enviado,74.65,54455.0
0928-JMXNP,Não,Masculino,1,Sim,Não,4,Não,Sem telefone,DSL,Não,Não,Sim,Não,Não,Não,Mensal,Sim,Cheque eletrônico,29.9,11825.0
0928-XUTSN,Não,Feminino,0,Não,Não,13,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Sim,Mensal,Sim,Cheque eletrônico,80.5,10118.0
0929-HYQEW,Não,Masculino,0,Não,Não,3,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,50.15,16085.0
0929-PECLO,Não,Feminino,1,Não,Não,63,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Não,Sim,Mensal,Sim,Transf. bancária,89.6,55388.0
0930-EHUZA,Não,Feminino,0,Não,Não,36,Sim,Não,DSL,Sim,Sim,Sim,Sim,Sim,Não,Anual,Sim,Cheque enviado,76.35,260635.0
0931-MHTEM,Não,Feminino,0,Não,Não,54,Sim,Não,Fibra optica,Sim,Sim,Não,Não,Sim,Sim,Anual,Sim,Cartão de crédito,100.05,529965.0
0932-YIXYU,Não,Feminino,0,Não,Não,47,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cartão de crédito,20.25,10298.0
0936-NQLJU,Não,Feminino,0,Sim,Não,41,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Cartão de crédito,20.65,87555.0
0939-EREMR,Não,Feminino,0,Não,Sim,13,Sim,Não,DSL,Não,Não,Sim,Sim,Não,Não,Mensal,Não,Cheque enviado,53.45,7181.0
0939-YAPAF,Sim,Feminino,0,Não,Não,35,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,100.25,35276.0
0940-OUQEC,Sim,Masculino,0,Não,Não,10,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Transf. bancária,80.7,7888.0
0942-KOWSM,Não,Feminino,0,Sim,Sim,30,Sim,Não,DSL,Não,Sim,Sim,Sim,Sim,Sim,Bianual,Não,Transf. bancária,80.8,23693.0
0943-ZQPXH,Não,Masculino,0,Sim,Sim,44,Sim,Não,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Transf. bancária,92.95,41229.0
0945-TSONX,Não,Feminino,0,Sim,Sim,47,Sim,Sim,DSL,Sim,Sim,Não,Sim,Sim,Sim,Bianual,Sim,Cartão de crédito,85.3,410725.0
0946-CLJTI,Sim,Masculino,1,Sim,Não,58,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,98.7,58126.0
0946-FKYTX,Não,Masculino,0,Não,Não,52,Não,Sem telefone,DSL,Não,Sim,Não,Não,Não,Não,Anual,Não,Cheque enviado,30.1,16234.0
0947-IDHRQ,Sim,Feminino,0,Não,Não,7,Sim,Não,Fibra optica,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque enviado,80.3,5267.0
0947-MUGVO,Sim,Masculino,1,Sim,Não,20,Sim,Não,Fibra optica,Não,Sim,Não,Não,Não,Não,Mensal,Sim,Cheque eletrônico,73.65,14635.0
0952-KMEEH,Sim,Masculino,0,Não,Não,13,Sim,Sim,Fibra optica,Sim,Não,Não,Não,Sim,Sim,Mensal,Não,Cheque enviado,98.15,123025.0
0953-LGOVU,Não,Masculino,0,Sim,Sim,12,Não,Sem telefone,DSL,Não,Sim,Não,Sim,Não,Não,Mensal,Não,Cheque enviado,35.5,43225.0
0956-ACVZC,Não,Feminino,0,Não,Não,54,Sim,Não,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Anual,Sim,Cartão de crédito,94.1,50609.0
0956-SYCWG,Não,Feminino,0,Não,Não,13,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cheque eletrônico,19.65,2448.0
0958-YHXGP,Não,Feminino,0,Não,Não,7,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,69.9,4973.0
0959-WHOKV,Não,Masculino,0,Não,Não,42,Sim,Sim,Fibra optica,Sim,Sim,Sim,Não,Não,Sim,Anual,Sim,Cheque eletrônico,99.0,429845.0
0960-HUWBM,Não,Masculino,0,Sim,Sim,65,Sim,Sim,Fibra optica,Não,Não,Sim,Sim,Sim,Sim,Bianual,Sim,Transf. bancária,104.1,670005.0
0961-ZWLVI,Não,Masculino,0,Não,Sim,49,Sim,Sim,Fibra optica,Sim,Sim,Sim,Não,Sim,Sim,Anual,Sim,Cartão de crédito,109.2,529045.0
0962-CQPWQ,Não,Feminino,0,Sim,Sim,62,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,20.3,129615.0
0963-ZBDRN,Sim,Masculino,0,Não,Não,32,Sim,Não,Fibra optica,Não,Não,Não,Sim,Sim,Sim,Mensal,Sim,Cheque eletrônico,96.2,31834.0
0967-BMLBD,Não,Feminino,0,Sim,Sim,11,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Sim,Cheque enviado,20.0,19635.0
0968-GSIKN,Sim,Feminino,0,Não,Não,1,Sim,Não,Fibra optica,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,70.8,708.0
0969-RGKCU,Não,Masculino,0,Sim,Sim,37,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cartão de crédito,19.8,67705.0
0970-ETWGE,Sim,Masculino,0,Não,Não,1,Sim,Não,Fibra optica,Não,Não,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,89.55,8955.0
0970-QXPXW,Não,Feminino,0,Não,Não,1,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Cheque enviado,19.65,1965.0
0971-QIFJK,Não,Feminino,0,Sim,Não,69,Sim,Sim,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Bianual,Não,Transf. bancária,24.25,16418.0
0973-KYVNF,Não,Feminino,0,Sim,Sim,72,Sim,Não,DSL,Sim,Sim,Sim,Não,Sim,Não,Bianual,Sim,Cartão de crédito,70.65,501115.0
0975-UYDTX,Não,Feminino,0,Sim,Não,26,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Sim,Sim,Anual,Sim,Cartão de crédito,90.1,231255.0
0975-VOOVL,Não,Feminino,0,Não,Não,3,Não,Sem telefone,DSL,Não,Sim,Não,Não,Não,Não,Mensal,Não,Cheque enviado,29.2,985.0
0979-MOZQI,Não,Masculino,0,Sim,Não,62,Não,Sem telefone,DSL,Não,Não,Não,Sim,Sim,Não,Bianual,Sim,Transf. bancária,39.0,233745.0
0979-PHULV,Sim,Masculino,0,Sim,Sim,69,Sim,Sim,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Sim,Cartão de crédito,99.45,70076.0
0980-FEXWF,Não,Masculino,0,Sim,Sim,26,Sim,Não,DSL,Não,Não,Sim,Não,Não,Não,Anual,Não,Cheque enviado,50.35,12858.0
0980-PVMRC,Não,Feminino,0,Sim,Sim,40,Não,Sem telefone,DSL,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,50.85,203655.0
0983-TATYJ,Não,Feminino,0,Sim,Não,33,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Anual,Sim,Cheque enviado,51.45,17589.0
0988-AADSA,Não,Feminino,0,Sim,Sim,72,Sim,Sim,DSL,Sim,Sim,Sim,Sim,Não,Sim,Bianual,Não,Transf. bancária,80.85,582475.0
0988-JRWWP,Não,Feminino,0,Não,Não,3,Sim,Não,DSL,Não,Não,Não,Não,Sim,Não,Mensal,Sim,Cheque eletrônico,54.2,1404.0
0991-BRRFB,Sim,Masculino,0,Não,Não,18,Sim,Não,DSL,Sim,Não,Não,Não,Não,Não,Mensal,Não,Cheque eletrônico,49.4,8748.0
0993-OSGPT,Não,Feminino,1,Sim,Não,68,Sim,Não,DSL,Não,Sim,Sim,Sim,Não,Não,Anual,Sim,Transf. bancária,60.65,39759.0
0997-YTLNY,Não,Feminino,0,Não,Sim,19,Sim,Não,DSL,Não,Não,Não,Sim,Não,Não,Mensal,Não,Cheque enviado,48.8,95365.0
0999-QXNSA,Não,Masculino,1,Não,Sim,7,Sim,Não,DSL,Não,Não,Não,Não,Não,Não,Mensal,Sim,Cheque enviado,45.75,3442.0
1000-AJSLD,Sim,Masculino,0,Não,Não,1,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Sim,Cheque enviado,20.1,201.0
1004-NOZNR,Não,Masculino,1,Não,Sim,56,Sim,Não,Fibra optica,Sim,Não,Não,Não,Sim,Sim,Anual,Não,Cartão de crédito,94.8,52643.0
1009-IRMNA,Sim,Feminino,0,Não,Não,7,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Mensal,Não,Transf. bancária,20.0,1376.0
1010-DIAUQ,Sim,Masculino,0,Não,Não,5,Sim,Não,Fibra optica,Não,Não,Sim,Não,Sim,Sim,Mensal,Não,Transf. bancária,96.5,49255.0
1013-QCWAM,Não,Feminino,1,Sim,Não,66,Sim,Sim,Fibra optica,Não,Sim,Não,Não,Sim,Sim,Mensal,Sim,Cheque eletrônico,100.8,669075.0
1015-JPFYW,Não,Masculino,0,Não,Sim,7,Sim,Não,Não,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Sem internet,Anual,Não,Cheque enviado,19.45,13675.0
